code,name
CLU,Luxemburg SE - Chi-X
SOP,Suomen Optioporssi
REU,Reuters
LIS,Lisbon Stock Exchange
OPO,Oporto Stock Exchange
NOM,Norwegian Options Market (Norsk Opsjonmarked)
CLT,Latino / America Market in Spain - Chi-X
RTS,RUSSIAN TRADING SYSTEM (PAUFOR) - RTS
ASX,Australian Stock Exchange - SEATS
IFX,Irish Options and Futures Exchange
PmI,Stockholmsborsen - fixed income (was Penningsmarknads Information AB)
MCE,SIBE - Mercado continuo Espanol
CVA,Valencia SE - Chi-X
TGE,Tokyo Grain Exchange
TSU,Tokyo Sugar Exchange
KRE,Kobe Rubber Exchange
MRV,MEFF Renta Variable
AOM,Australian Options market
BFX,Brussels Futures and Options Exchange
BRT,Brussels SE Forward Market
DTB,Deutsche Terminboerse
MRF,MEFF Renta Fija
CBA,Barcelona SE - Chi-X
GER,Xetra Level 1
MTS,MTS Italy
IST,Istanbul Stock Exchange
MUS,Muscat Stock Exchange
ABJ,Bourse de Valeurs d'Abidjan
NAI,Nairobi Stock Exchange
TUN,Tunis Stock Exchange
FSI,FT-SE International
NIN,NASDAQ International (pending SEC approval)
MCP,Interbolsa - Portuguese Continuous Market
OTB,Osterreichische Termin und Optionenboerse (Austrian FOX)
SIC,Singapore Commodity Exchange
RCT,Source is a Reuter contributor
IGF,Italian Government Forwards
MWQ,Consolidated issue listed by Midwest SE
PSQ,Consolidated issue listed by Pacific SE
PHQ,Consolidated issue listed by Philadelphia SE
JSD,JASDAQ
ECM,American SE Emerging Company Marketplace
OBB,NASD OTC Bulletin Board Market
IFM,SIA Futures Market
MFI,Madrid Fixed Income
SME,Shanghai Metal Exchange
SHZ,Shenzhen Stock Exchange
RSA,South African Quotations
BUD,Budapest Stock Exchange
PHS,Philippine Stock Exchange
MLT,Malta Stock Exchange
COX,OFEX - Chi-X
SZM,Shenzhen Mercantile Exchange
SZF,Shenzhen Futures Exchange
JBT,Japan Bond Trading Co. Ltd.
JPX,Japan Exchange Group Inc
MDC,Maebashi Dried Cocoon Exchange
NTC,Nagoya Textile Exchange
YSE,Yokohama Silk Exchange
OTE,Osaka Textile Exchange
NAK,Nakadachi Securities
CBE,Berlin SE - Chi-X
TOT,Thailand OTC Exchange
AHM,Ahemdebad Stock Exchange
KLF,Kuala Lumpur Options and Financial Futures Exchange
CSE,Colombo Stock Exchange
BEC,Chile Electronic Exchange Santiago
MXI,Mexico SE Intermediate Market
ZHC,China Zhengzhou Commodity Exchange
BJC,Beijing Commodities Exchange
CBU,Budapest SE - Chi-X
GUF,Guangdong United Futures Exchange
BMF,Brazilian Commodties and Futures Exchange
VSE,Ho Chi Minh City Securities Trading Center
SFX,South African Futures Exchange
CMU,Munich SE - Chi-X
DLC,Dalian Commodities Exchange
